,house_links,house_type,house_price,address,area,bedrooms,parking_space,latitude,longitude
0,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-3-quartos-137m2/101r6vc,Apartamento,1450000,"R. José Maria Lisboa, Jardim América",137,3,0,-23.5657504,-46.6607026
1,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-1-quarto-26m2/11kwjny,Conjugado,367000,"R. da Consolação, Jardim América",26,1,1,-23.5600355,-46.6671196
2,https://loft.com.br/imovel/apartamento-alameda-franca-jardim-america-sao-paulo-3-quartos-113m2/11vhzes,Apartamento,1160000,"Alameda Franca, Jardim América",113,3,1,-23.5637847,-46.6610722
3,https://loft.com.br/imovel/apartamento-rua-bela-cintra-jardim-america-sao-paulo-3-quartos-145m2/14gg490,Apartamento,1690000,"R. Bela Cintra, Jardim América",145,3,2,-23.5599256,-46.6653576
4,https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-3-quartos-227m2/16dn0gv,Apartamento,7750000,"R. Peixoto Gomide, Jardim América",227,3,4,-23.56459999,-46.66077003
5,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-1-quarto-25m2/16wgn9,Studio,450000,"Alameda Jaú, Jardim América",25,1,1,-23.559149,-46.6621006
6,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-studio-110m2/17ilq0k,Apartamento,1000000,"Alameda Jaú, Jardim América",110,0,1,-23.5586217,-46.6630134
7,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-3-quartos-115m2/18fame3,Apartamento,1600000,"Alameda Jaú, Jardim América",115,3,2,-23.5580985,-46.6643247
8,https://loft.com.br/imovel/apartamento-rua-oscar-freire-jardim-america-sao-paulo-3-quartos-184m2/1aupqcs,Apartamento,3500000,"R. Oscar Freire, Jardim América",184,3,2,-23.5634031,-46.6685161
9,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-2-quartos-107m2/1axas9f,Apartamento,1600000,"R. da Consolação, Jardim América",107,2,1,-23.5575139,-46.6651038
10,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-2-quartos-116m2/1bdq87v,Apartamento,2675000,"R. José Maria Lisboa, Jardim América",116,2,2,-23.5658172,-46.6603051
11,https://loft.com.br/imovel/apartamento-alameda-franca-jardim-america-sao-paulo-2-quartos-98m2/1ccisky,Apartamento,1196000,"Alameda Franca, Jardim América",98,2,1,-23.559779,-46.6662376
12,https://loft.com.br/imovel/apartamento-rua-melo-alves-jardim-america-sao-paulo-2-quartos-110m2/1cp534h,Apartamento,1361000,"R. Melo Alves, Jardim América",110,2,1,-23.5601584,-46.6693174
13,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-1-quarto-24m2/1cxuark,Studio,530000,"R. da Consolação, Jardim América",24,1,1,-23.559836,-46.6670197
14,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-3-quartos-292m2/1fopmg3,Apartamento,4200000,"R. José Maria Lisboa, Jardim América",292,3,3,-23.5639667,-46.6627683
15,https://loft.com.br/imovel/apartamento-rua-augusta-jardim-america-sao-paulo-1-quarto-250m2/1gpzq3t,Apartamento,3180000,"R. Augusta, Jardim América",250,1,2,-23.55883,-46.66077
16,https://loft.com.br/imovel/apartamento-alameda-franca-jardim-america-sao-paulo-2-quartos-94m2/1h2yxmm,Apartamento,2350000,"Alameda Franca, Jardim América",94,2,1,-23.55855002,-46.66725
17,https://loft.com.br/imovel/apartamento-avenida-reboucas-jardim-america-sao-paulo-3-quartos-125m2/1i3e7sn,Apartamento,700000,"Av. Rebouças, Jardim América",125,3,1,-23.557421,-46.6662968
18,https://loft.com.br/imovel/apartamento-alameda-santos-jardim-america-sao-paulo-2-quartos-103m2/1i6beto,Apartamento,1550000,"Alameda Santos, Jardim América",103,2,1,-23.5598197,-46.6604359
19,https://loft.com.br/imovel/apartamento-alameda-tiete-jardim-america-sao-paulo-3-quartos-140m2/1il24zv,Apartamento,1800000,"Alameda Tietê, Jardim América",140,3,2,-23.5598641,-46.6680594
20,https://loft.com.br/imovel/apartamento-alameda-gabriel-monteiro-da-silva-jardim-america-sao-paulo-2-quartos-70m2/1lyo3iw,Apartamento,2500000,"Alameda Gabriel Monteiro da Silva, Jardim América",70,2,1,-23.510046005249023,-46.60343551635742
21,https://loft.com.br/imovel/apartamento-alameda-tiete-jardim-america-sao-paulo-3-quartos-212m2/1ompcvo,Apartamento,3000000,"Alameda Tietê, Jardim América",212,3,2,-23.5598021,-46.6684448
22,https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-2-quartos-116m2/1owdb59,Apartamento,1590000,"Alameda Lorena, Jardim América",116,2,1,-23.5648,-46.66475
